# Calculated global means from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: GML_annual_means.csv
# Generated on: 2026-06-10 15:41:25
#
year,CFC11,CFC12,CFC113,CH3CCl3,CCl4,C2Cl4,CH2Cl2,HCFC22,HCFC141b,HCFC142b,H1211,H1301,H2402,CH3Br,CH3Cl,CFC115,HCFC124,HCFC133a,CFC13,HFC32,HFC125,HFC134a,CH2ClCH2Cl,HFC143a,HFC152a,HFC227ea,HFC365mfc,HFC236fa,CF4,SF6
1976-07-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1977-07-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1978-07-01,155.910,277.017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1979-07-01,164.098,295.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1980-07-01,171.949,308.404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1981-07-01,179.959,327.301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982-07-01,188.118,342.481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1983-07-01,196.700,359.805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984-07-01,207.172,373.760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1985-07-01,217.753,393.445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1986-07-01,228.483,411.507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987-07-01,239.249,434.908,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1988-07-01,248.785,456.202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1989-07-01,256.783,474.571,NaN,NaN,107.718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1990-07-01,261.948,487.813,NaN,NaN,107.910,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1991-07-01,265.299,499.853,NaN,NaN,107.672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1992-07-01,267.666,509.406,81.279,131.745,107.166,NaN,NaN,104.112,NaN,3.877,2.992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993-07-01,268.053,514.454,83.131,123.524,106.135,NaN,NaN,108.749,1.244,5.035,3.178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1994-07-01,267.907,519.210,83.850,111.533,105.281,2.825,NaN,113.300,2.717,6.164,3.378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1995-07-01,266.475,525.594,84.017,99.339,104.434,2.811,19.596,119.291,4.481,7.196,3.535,NaN,0.474,9.187,550.793,NaN,NaN,NaN,NaN,NaN,NaN,2.321,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1996-07-01,264.664,531.961,83.825,85.077,103.537,2.727,20.080,124.116,6.467,8.277,3.702,NaN,0.485,9.132,540.707,NaN,NaN,NaN,NaN,NaN,NaN,4.047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.828
1997-07-01,263.239,535.186,83.247,71.983,102.590,2.698,19.670,128.572,8.199,9.163,3.833,NaN,0.487,9.385,561.813,NaN,NaN,NaN,NaN,NaN,NaN,6.361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.069
1998-07-01,261.977,538.279,82.713,60.048,101.683,2.469,19.392,134.668,10.120,10.239,3.957,NaN,0.487,9.323,569.475,NaN,NaN,NaN,NaN,NaN,NaN,9.161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.281
1999-07-01,260.204,540.544,82.142,49.953,100.503,2.236,18.944,139.550,11.830,11.282,4.064,NaN,0.486,8.891,555.502,NaN,NaN,NaN,NaN,NaN,NaN,12.340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.475
2000-07-01,258.480,542.068,81.749,41.684,99.334,2.196,18.843,145.022,13.502,12.230,4.153,NaN,0.486,8.559,547.107,NaN,NaN,NaN,NaN,NaN,NaN,15.761,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.688
2001-07-01,256.834,542.947,81.243,34.543,98.178,2.119,18.738,151.074,14.890,13.060,4.214,NaN,0.486,8.284,541.863,NaN,NaN,NaN,NaN,NaN,NaN,19.580,NaN,NaN,2.259,NaN,NaN,NaN,NaN,4.890
