# Calculated global means from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Annual means computed from Jan 1 to Dec 31.
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: GML_annual_means.csv
# Generated on: 2026-06-12 11:24:04
#
year,CFC11,CFC12,CFC113,CH3CCl3,CCl4,C2Cl4,CH2Cl2,HCFC22,HCFC141b,HCFC142b,H1211,H1301,H2402,CH3Br,CH3Cl,CFC115,HCFC124,HCFC133a,CFC13,HFC32,HFC125,HFC134a,CH2ClCH2Cl,HFC143a,HFC152a,HFC227ea,HFC365mfc,HFC236fa,CF4,SF6,COS
1977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1978,151.464,269.637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1979,159.690,285.597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1980,168.387,301.546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1981,175.833,318.379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982,183.569,334.371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1983,192.615,351.710,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984,201.290,366.765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1985,212.773,383.283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1986,223.077,402.086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987,233.887,423.019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1988,244.355,446.476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1989,253.152,465.892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1990,259.425,481.454,NaN,NaN,107.834,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1991,263.838,493.642,NaN,NaN,107.874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1992,266.755,505.878,NaN,134.289,107.503,NaN,NaN,101.548,NaN,NaN,2.876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,267.987,511.980,82.154,127.877,106.700,NaN,NaN,106.142,0.793,4.462,3.080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1994,268.011,516.621,83.670,117.902,105.670,3.088,NaN,111.270,1.975,5.665,3.302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1995,267.515,521.417,83.817,105.505,104.864,2.645,NaN,116.173,3.512,6.618,3.449,NaN,NaN,9.202,555.164,NaN,NaN,NaN,NaN,NaN,NaN,1.666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1996,265.246,529.930,83.939,92.162,104.001,2.768,19.349,121.785,5.463,7.758,3.617,NaN,0.479,9.133,544.697,NaN,NaN,NaN,NaN,NaN,NaN,3.075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.710,NaN
1997,264.077,533.818,83.527,78.516,103.046,2.765,20.207,126.329,7.401,8.743,3.778,NaN,0.488,9.202,548.128,NaN,NaN,NaN,NaN,NaN,NaN,5.222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.958,NaN
1998,262.549,536.579,82.907,65.731,102.202,2.614,19.414,131.619,9.127,9.680,3.890,NaN,0.487,9.421,570.249,NaN,NaN,NaN,NaN,NaN,NaN,7.685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.178,NaN
1999,261.124,539.416,82.435,54.812,101.066,2.357,19.139,137.137,10.992,10.769,4.012,NaN,0.486,9.096,561.261,NaN,NaN,NaN,NaN,NaN,NaN,10.711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.376,NaN
2000,259.320,541.628,81.924,45.683,99.797,2.196,18.752,142.108,12.698,11.765,4.114,NaN,0.486,8.802,551.913,NaN,NaN,NaN,NaN,NaN,NaN,14.025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.580,NaN
2001,257.640,542.417,81.472,37.920,98.751,2.122,18.825,148.043,14.182,12.669,4.185,NaN,0.486,8.353,542.543,NaN,NaN,NaN,NaN,NaN,NaN,17.582,NaN,NaN,1.870,NaN,NaN,NaN,NaN,4.784,488.359
2002,255.796,543.189,80.821,31.582,97.656,2.146,19.164,153.441,15.566,13.406,4.241,NaN,0.486,8.224,544.968,NaN,NaN,NaN,NaN,NaN,NaN,21.630,NaN,NaN,2.483,NaN,NaN,NaN,NaN,4.996,487.938
2003,253.364,542.758,80.101,26.450,96.558,2.080,19.801,158.360,16.670,14.043,4.279,NaN,0.485,8.169,546.928,NaN,NaN,NaN,NaN,NaN,NaN,25.667,NaN,NaN,2.715,NaN,NaN,NaN,NaN,5.220,491.308
2004,251.348,542.398,79.353,21.930,95.511,1.843,19.491,162.570,17.258,14.605,4.303,NaN,0.482,7.911,540.409,NaN,NaN,NaN,NaN,NaN,NaN,29.872,NaN,NaN,3.147,NaN,NaN,NaN,NaN,5.447,491.487
2005,249.270,541.570,78.739,18.346,94.537,1.777,20.436,168.733,17.614,15.243,4.316,NaN,0.480,7.801,544.997,NaN,NaN,NaN,NaN,NaN,NaN,34.713,NaN,NaN,3.823,NaN,NaN,NaN,NaN,5.667,492.982
2006,247.258,540.142,78.148,15.347,93.300,1.725,21.558,175.387,18.153,16.131,4.305,NaN,0.475,7.642,542.230,NaN,NaN,NaN,NaN,NaN,NaN,39.125,NaN,NaN,4.483,NaN,NaN,NaN,NaN,5.904,496.553
2007,244.992,537.911,77.278,12.885,92.192,1.610,23.641,183.321,18.826,17.328,4.269,3.138,0.469,7.655,551.579,NaN,NaN,NaN,NaN,NaN,5.513,43.510,NaN,7.604,5.186,NaN,NaN,NaN,NaN,6.180,500.001
2008,242.966,535.535,76.445,10.801,90.672,1.673,25.406,191.408,19.320,18.546,4.200,3.170,0.463,7.389,550.325,NaN,NaN,NaN,NaN,NaN,6.499,47.906,NaN,8.706,5.805,NaN,NaN,NaN,NaN,6.466,498.803
2009,241.106,532.998,75.844,9.075,89.317,1.510,25.476,198.926,19.893,19.504,4.139,3.184,0.463,7.130,546.359,NaN,NaN,NaN,NaN,NaN,7.595,52.569,NaN,9.841,6.088,NaN,NaN,NaN,NaN,6.747,490.218
2010,239.245,529.609,75.208,7.577,88.364,1.418,28.521,206.214,20.450,20.160,4.071,3.218,0.460,7.097,543.526,NaN,NaN,NaN,NaN,3.548,8.784,57.516,NaN,10.891,6.260,NaN,0.507,NaN,NaN,7.038,496.608
2011,237.170,526.934,74.484,6.329,87.011,1.276,28.977,213.117,21.378,20.977,4.000,3.231,0.453,7.114,540.526,NaN,NaN,NaN,NaN,4.349,10.300,62.941,NaN,12.098,6.766,NaN,0.557,NaN,NaN,7.318,496.587
2012,235.187,524.229,73.782,5.244,85.880,1.198,30.820,218.361,22.313,21.390,3.917,3.266,0.447,6.981,544.943,NaN,NaN,NaN,NaN,5.051,11.906,67.793,NaN,13.382,6.943,0.797,0.616,NaN,NaN,7.601,498.989
2013,233.514,520.959,73.100,4.356,84.870,1.286,36.903,224.025,23.286,21.816,3.810,3.305,0.440,6.828,546.999,NaN,NaN,NaN,NaN,6.325,13.851,72.743,NaN,14.718,6.934,0.886,0.671,NaN,NaN,7.915,500.957
2014,232.131,518.415,72.489,3.661,83.698,1.265,38.759,229.374,23.835,21.952,3.711,3.315,0.433,6.709,548.438,NaN,NaN,NaN,NaN,7.628,15.697,78.002,NaN,16.063,6.744,0.985,0.731,NaN,NaN,8.259,500.047
2015,230.940,515.540,71.891,3.089,82.418,1.251,38.081,233.348,24.289,21.894,3.607,3.315,0.426,6.667,552.880,8.508,1.156,0.446,NaN,9.346,17.780,83.642,NaN,17.550,6.839,1.072,0.799,0.138,82.093,8.590,497.205
2016,229.942,512.353,71.298,2.616,81.312,1.240,39.754,237.815,24.579,22.046,3.510,3.323,0.422,6.884,563.058,8.560,1.108,0.469,3.342,11.368,20.270,89.789,NaN,19.022,6.864,1.176,0.879,0.148,82.880,8.919,503.433
2017,228.975,508.661,70.665,2.215,80.319,1.240,42.155,241.092,24.551,22.129,3.408,3.323,0.414,6.631,550.699,8.606,1.067,0.481,3.358,13.778,23.020,96.051,7.194,20.647,7.000,1.294,0.933,0.160,83.762,9.264,495.016
2018,228.197,505.665,70.073,1.888,79.242,1.185,42.637,244.392,24.414,22.043,3.316,3.330,0.408,6.643,548.982,8.641,0.995,0.477,3.398,16.432,25.895,102.288,9.214,22.252,7.208,1.425,0.980,0.174,84.595,9.611,490.741
2019,226.414,501.359,69.366,1.634,78.347,1.199,44.769,247.088,24.431,21.965,3.217,3.333,0.405,6.578,549.999,8.717,0.946,0.470,3.430,19.283,29.037,108.152,9.192,23.846,7.436,1.563,1.016,0.187,85.497,9.954,483.684
2020,223.949,497.211,68.694,1.423,76.885,1.129,45.241,248.144,24.571,21.721,3.115,3.319,0.399,6.687,553.952,8.756,0.919,0.458,3.440,22.109,32.293,113.488,8.140,25.308,7.338,1.706,1.027,0.198,86.415,10.281,477.625
2021,221.690,493.338,68.096,1.257,75.729,1.143,50.123,249.027,24.654,21.517,3.027,3.330,0.396,6.633,551.717,8.794,0.902,0.459,3.464,25.411,35.627,119.178,7.384,26.998,7.485,1.875,1.054,0.212,87.347,10.652,473.759
2022,219.494,489.672,67.507,1.114,74.752,1.073,49.419,248.915,24.659,21.244,2.936,3.334,0.397,6.546,549.689,8.875,0.892,0.482,3.498,29.369,39.567,124.667,6.595,28.967,7.628,2.044,1.074,0.225,88.194,11.037,471.846
2023,217.154,485.495,66.908,0.988,73.838,1.021,52.555,247.759,24.597,21.004,2.844,3.334,0.396,6.513,547.170,8.958,0.886,0.500,3.515,33.784,43.475,129.818,8.074,30.671,7.624,2.210,1.071,0.237,89.196,11.428,474.149
2024,214.505,481.458,66.338,0.876,73.050,1.095,56.304,245.394,24.473,20.746,2.750,3.329,0.390,6.534,551.977,9.002,0.869,0.489,3.517,38.150,47.454,134.845,8.054,32.411,7.976,2.395,1.032,0.246,90.273,11.824,478.944
2025,211.637,476.955,65.693,0.770,72.410,1.061,57.862,242.220,24.343,20.418,2.653,3.325,0.382,6.580,556.685,9.028,0.844,0.482,3.538,43.265,51.552,139.562,8.028,34.259,8.253,2.586,0.963,0.259,91.210,12.265,479.202
