# Annual means for C2Cl4
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: C2Cl4_annual_means.csv
# Generated on: 2025-07-09 16:04:19
#
year,HN,LN,LS,HS,Global
1992,7.894,NaN,NaN,NaN,NaN
1993,7.322,3.840,1.107,1.017,3.354
1994,6.071,3.134,1.111,1.001,2.829
1995,5.874,3.301,1.128,0.942,2.811
1996,5.340,3.577,1.058,0.935,2.727
1997,5.301,3.568,1.026,0.900,2.699
1998,4.824,3.219,0.992,0.841,2.469
1999,4.157,3.052,0.921,0.818,2.237
2000,4.423,2.826,0.803,0.731,2.196
2001,4.330,2.642,0.800,0.705,2.119
2002,4.398,2.662,0.755,0.677,2.123
2003,4.011,2.429,0.672,0.617,1.932
2004,3.729,2.303,0.645,0.572,1.812
2005,3.576,2.229,0.695,0.543,1.761
2006,3.419,2.090,0.649,0.502,1.665
2007,3.311,1.931,0.670,0.564,1.619
2008,3.017,1.990,0.806,0.627,1.610
2009,2.809,1.880,0.578,0.460,1.432
2010,2.674,1.695,0.529,0.457,1.339
2011,2.383,1.567,0.492,0.419,1.215
2012,2.401,1.532,0.584,0.530,1.262
2013,2.400,1.552,0.586,0.460,1.250
2014,2.405,1.741,0.580,0.445,1.293
2015,2.337,1.644,0.574,0.412,1.242
2016,2.343,1.562,0.559,0.426,1.223
2017,2.315,1.536,0.586,0.410,1.212
2018,2.280,1.632,0.542,0.388,1.211
2019,2.183,1.522,0.529,0.368,1.150
2020,2.105,1.513,0.603,0.376,1.149
2021,2.043,1.359,0.598,0.379,1.094
2022,1.923,1.254,0.564,0.367,1.027
2023,1.923,1.450,0.576,0.337,1.072
2024,1.744,1.268,0.644,0.437,1.023
