# Annual means for CCl4
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Annual means computed from Jan 1 to Dec 31.
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: CCl4_annual_means.csv
# Generated on: 2026-06-17 14:11:21
#
year,HN,LN,LS,HS,Global
1988,NaN,NaN,NaN,NaN,NaN
1989,NaN,NaN,NaN,NaN,NaN
1990,109.904,107.944,107.028,106.461,107.834
1991,109.395,107.617,107.323,107.161,107.874
1992,108.842,106.772,107.540,106.859,107.503
1993,107.747,106.265,106.729,106.058,106.700
1994,106.189,105.669,105.930,104.892,105.670
1995,105.178,104.863,105.544,103.871,104.864
1996,104.560,104.875,103.729,102.841,104.001
1997,103.490,103.945,102.733,102.017,103.046
1998,102.687,103.170,101.755,101.197,102.202
1999,101.515,101.784,100.864,100.101,101.066
2000,100.529,100.717,99.265,98.677,99.797
2001,99.605,99.843,98.142,97.415,98.751
2002,98.500,98.757,96.988,96.379,97.656
2003,97.333,97.503,96.231,95.167,96.558
2004,96.220,96.413,95.212,94.201,95.511
2005,95.178,95.543,94.247,93.179,94.537
2006,93.908,94.109,93.147,92.038,93.300
2007,92.740,93.069,92.062,90.896,92.192
2008,91.246,91.526,90.415,89.500,90.672
2009,89.827,90.086,89.064,88.291,89.317
2010,88.880,89.249,88.069,87.260,88.364
2011,87.592,87.758,86.808,85.887,87.011
2012,86.415,86.604,85.769,84.734,85.880
2013,85.355,85.697,84.731,83.696,84.870
2014,84.358,84.730,83.356,82.346,83.698
2015,83.155,83.452,81.883,81.182,82.418
2016,82.009,82.290,80.909,80.041,81.312
2017,81.093,81.448,79.949,78.787,80.319
2018,79.934,80.171,78.804,78.058,79.242
2019,79.038,78.887,78.158,77.305,78.347
2020,77.623,77.252,76.756,75.909,76.885
2021,76.261,76.272,75.565,74.820,75.729
2022,75.210,75.215,74.721,73.863,74.752
2023,74.333,74.452,73.557,73.011,73.838
2024,73.618,73.869,72.693,72.021,73.050
2025,73.026,73.251,71.999,71.365,72.410
