# Annual means for CFC115
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Annual means computed from Jan 1 to Dec 31.
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: CFC115_annual_means.csv
# Generated on: 2026-06-17 14:12:23
#
year,HN,LN,LS,HS,Global
2014,NaN,NaN,NaN,NaN,NaN
2015,8.533,8.529,8.497,8.472,8.508
2016,8.596,8.585,8.537,8.524,8.560
2017,8.645,8.638,8.590,8.553,8.606
2018,8.678,8.666,8.631,8.590,8.641
2019,8.754,8.754,8.691,8.667,8.717
2020,8.792,8.775,8.735,8.723,8.756
2021,8.838,8.822,8.764,8.754,8.794
2022,8.918,8.911,8.852,8.821,8.875
2023,9.000,8.995,8.928,8.906,8.958
2024,9.027,9.036,8.979,8.967,9.002
2025,9.039,9.072,9.018,8.984,9.028
