# Annual means for CH2Cl2
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: CH2Cl2_annual_means.csv
# Generated on: 2025-07-09 16:04:21
#
year,HN,LN,LS,HS,Global
1994,41.255,23.020,10.239,NaN,NaN
1995,37.104,22.752,11.456,9.951,20.094
1996,31.843,25.314,10.860,9.521,19.384
1997,33.329,27.257,10.517,9.665,20.192
1998,31.111,26.430,10.507,9.599,19.412
1999,30.975,25.659,10.601,9.255,19.123
2000,30.956,24.031,10.668,9.350,18.751
2001,30.488,25.168,10.401,9.244,18.825
2002,32.018,25.125,10.209,9.237,19.148
2003,32.640,27.127,10.271,9.163,19.801
2004,31.662,26.275,10.670,9.355,19.491
2005,33.028,27.400,11.730,9.559,20.429
2006,34.638,28.394,13.359,9.842,21.558
2007,37.713,32.403,13.572,10.874,23.641
2008,41.383,34.132,14.210,11.902,25.407
2009,40.716,35.366,13.961,11.860,25.476
2010,46.063,40.736,14.782,12.507,28.522
2011,47.001,39.889,15.503,13.516,28.977
2012,49.803,43.175,16.458,13.843,30.820
2013,60.453,53.158,19.226,14.771,36.902
2014,62.571,56.159,20.050,16.266,38.762
2015,60.451,55.198,20.098,16.573,38.080
2016,63.797,58.144,20.347,16.729,39.754
2017,69.308,59.951,22.265,17.091,42.154
2018,68.204,59.675,23.982,18.686,42.637
2019,71.997,66.133,22.327,18.619,44.769
2020,73.771,64.511,23.782,18.902,45.241
2021,80.740,72.188,26.344,21.221,50.123
2022,80.822,68.516,26.616,21.650,49.401
2023,85.531,74.451,26.820,21.711,52.128
2024,93.865,85.048,27.725,22.859,57.374
