# Annual means for CH2Cl2
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: CH2Cl2_annual_means.csv
# Generated on: 2025-07-09 16:04:21
#
year,HN,LN,LS,HS,Global
1993,42.103,24.669,8.981,NaN,NaN
1994,41.746,22.321,11.445,9.071,21.412
1995,32.962,24.577,10.995,9.760,19.574
1996,32.841,27.214,10.775,9.600,20.107
1997,32.366,26.359,10.418,9.527,19.667
1998,31.045,26.095,10.898,9.462,19.375
1999,31.163,24.703,10.640,9.269,18.944
2000,30.585,25.059,10.397,9.331,18.843
2001,30.600,24.781,10.354,9.183,18.729
2002,32.540,26.258,10.134,9.174,19.527
2003,32.352,26.434,10.521,9.199,19.627
2004,32.459,26.873,10.883,9.482,19.924
2005,33.747,28.079,12.837,9.659,21.080
2006,36.236,30.500,13.486,10.277,22.625
2007,39.798,33.234,14.116,11.479,24.657
2008,40.425,34.121,14.054,11.932,25.133
2009,44.531,39.010,13.861,11.891,27.323
2010,46.987,39.947,15.459,13.136,28.883
2011,46.601,41.396,16.239,13.653,29.472
2012,56.837,47.959,17.812,14.406,34.254
2013,61.434,55.324,19.551,15.550,37.965
2014,61.994,57.107,20.691,16.281,39.018
2015,61.925,56.536,19.833,16.527,38.705
2016,67.083,58.779,21.383,16.862,41.027
2017,69.254,59.631,23.457,17.836,42.544
2018,70.041,63.866,22.538,18.615,43.765
2019,71.727,64.400,22.948,18.786,44.465
2020,78.125,68.370,25.599,19.735,47.957
2021,82.096,70.503,26.692,21.753,50.261
2022,81.520,69.529,26.411,21.634,49.773
2023,90.090,82.982,26.754,21.897,55.431
2024,86.585,77.003,27.772,25.632,54.248
