# Annual means for CH2ClCH2Cl
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: CH2ClCH2Cl_annual_means.csv
# Generated on: 2026-05-18 11:06:22
#
year,HN,LN,LS,HS,Global
2016,NaN,NaN,NaN,NaN,NaN
2017,15.283,12.542,2.827,1.615,8.067
2018,18.274,15.963,2.831,1.945,9.753
2019,15.669,12.909,2.514,1.843,8.234
2020,15.494,12.163,2.629,1.765,8.013
2021,12.897,9.705,2.264,1.711,6.644
2022,13.974,11.133,2.299,1.656,7.266
2023,15.539,13.206,2.376,1.741,8.215
2024,14.988,11.960,2.547,1.873,7.842
2025,NaN,NaN,NaN,NaN,NaN
