# Annual means for CH3Br
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: CH3Br_annual_means.csv
# Generated on: 2025-07-28 10:53:55
#
year,HN,LN,LS,HS,Global
1993,NaN,NaN,NaN,NaN,NaN
1994,NaN,NaN,NaN,NaN,NaN
1995,NaN,NaN,NaN,NaN,NaN
1996,10.814,9.947,8.242,7.746,9.187
1997,10.645,9.991,8.199,7.695,9.132
1998,10.968,10.483,8.253,7.837,9.385
1999,10.705,10.237,8.406,7.945,9.323
2000,9.894,9.801,8.142,7.726,8.891
2001,9.904,9.235,7.640,7.457,8.559
2002,9.239,8.924,7.728,7.247,8.285
2003,9.175,8.985,7.499,7.109,8.192
2004,9.123,8.732,7.355,6.945,8.039
2005,8.727,8.585,7.254,6.886,7.863
2006,8.544,8.323,7.194,6.792,7.713
2007,8.469,8.217,7.213,6.706,7.651
2008,8.344,7.977,7.059,6.660,7.510
2009,8.032,7.715,6.812,6.494,7.263
2010,7.752,7.603,6.652,6.341,7.087
2011,7.729,7.546,6.785,6.340,7.100
2012,7.691,7.513,6.764,6.333,7.075
2013,7.533,7.379,6.581,6.231,6.931
2014,7.245,7.166,6.339,6.083,6.708
2015,7.189,7.144,6.465,6.048,6.711
2016,7.225,7.244,6.651,6.196,6.829
2017,7.101,7.034,6.497,6.202,6.709
2018,7.029,6.914,6.493,6.129,6.641
2019,6.940,7.012,6.438,6.018,6.602
2020,7.010,7.086,6.416,6.068,6.645
2021,6.975,7.002,6.470,6.102,6.637
2022,6.952,7.055,6.413,6.060,6.620
2023,6.798,6.889,6.319,5.957,6.491
2024,6.848,6.974,6.313,5.945,6.520
2025,NaN,NaN,NaN,NaN,NaN
