# Annual means for CH3CCl3
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: CH3CCl3_annual_means.csv
# Generated on: 2025-07-28 10:53:26
#
year,HN,LN,LS,HS,Global
1991,NaN,NaN,NaN,NaN,NaN
1992,153.596,140.370,121.538,121.650,134.289
1993,142.321,133.200,119.121,116.867,127.877
1994,128.183,121.084,111.600,110.735,117.901
1995,112.442,106.801,101.320,101.459,105.506
1996,96.529,93.462,88.848,89.811,92.162
1997,81.227,79.483,75.879,77.477,78.517
1998,67.272,65.842,63.847,65.964,65.731
1999,55.901,54.938,53.227,55.178,54.811
2000,46.623,45.665,44.362,46.092,45.686
2001,38.710,37.987,36.840,38.141,37.919
2002,32.364,31.510,30.656,31.793,31.581
2003,27.200,26.468,25.598,26.536,26.450
2004,22.512,21.922,21.218,22.070,21.931
2005,18.861,18.332,17.760,18.430,18.346
2006,15.778,15.328,14.887,15.396,15.347
2007,13.300,12.898,12.472,12.872,12.885
2008,11.156,10.746,10.475,10.826,10.801
2009,9.325,9.053,8.802,9.119,9.075
2010,7.792,7.571,7.313,7.631,7.577
2011,6.496,6.303,6.135,6.380,6.329
2012,5.373,5.206,5.090,5.307,5.244
2013,4.482,4.337,4.203,4.400,4.356
2014,3.764,3.627,3.528,3.724,3.661
2015,3.156,3.032,2.997,3.174,3.090
2016,2.682,2.585,2.508,2.688,2.616
2017,2.290,2.194,2.136,2.241,2.215
2018,1.950,1.889,1.823,1.890,1.888
2019,1.683,1.689,1.547,1.618,1.634
2020,1.468,1.501,1.336,1.387,1.423
2021,1.302,1.323,1.180,1.225,1.257
2022,1.161,1.156,1.049,1.091,1.114
2023,1.034,1.132,0.936,0.963,1.016
2024,0.922,0.893,0.843,0.855,0.878
