# Annual means for CH3Cl
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: CH3Cl_annual_means.csv
# Generated on: 2025-07-09 16:04:37
#
year,HN,LN,LS,HS,Global
1992,NaN,NaN,565.628,NaN,NaN
1993,534.356,594.422,547.693,NaN,NaN
1994,531.766,581.401,550.512,532.904,561.723
1995,542.005,566.220,558.528,536.868,550.905
1996,533.370,553.787,547.361,528.435,540.738
1997,554.444,590.413,564.576,537.770,561.801
1998,567.986,590.054,569.535,550.355,569.482
1999,538.898,577.966,563.117,541.993,555.494
2000,541.781,565.768,547.340,533.575,547.116
2001,536.175,561.094,544.620,525.591,541.870
2002,540.437,575.608,548.497,523.369,546.978
2003,541.284,563.217,541.722,522.753,542.244
2004,537.130,574.623,543.873,523.041,544.667
2005,534.919,559.488,549.485,524.192,542.021
2006,539.435,572.228,557.854,524.342,548.465
2007,546.101,571.138,553.059,529.574,549.968
2008,546.512,569.724,551.248,527.626,548.777
2009,541.356,577.377,544.242,518.223,545.300
2010,537.035,563.659,544.064,517.171,540.482
2011,535.118,568.400,548.681,516.450,542.162
2012,543.146,577.364,553.487,521.914,548.978
2013,545.507,568.390,541.245,520.294,543.859
2014,549.150,581.206,558.913,524.621,553.472
2015,559.114,585.502,567.491,533.217,561.331
2016,548.375,568.451,565.280,534.106,554.053
2017,540.386,561.246,565.607,530.447,549.422
2018,539.193,564.066,569.030,526.733,549.756
2019,540.354,565.421,567.153,528.997,550.481
2020,543.461,565.455,571.341,530.243,552.625
2021,542.253,565.873,571.028,529.324,552.119
2022,537.937,561.968,562.832,524.943,546.920
2023,541.484,573.626,564.257,527.023,551.597
2024,523.413,560.523,573.205,542.257,549.850
