# Annual means for H1301
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: H1301_annual_means.csv
# Generated on: 2025-06-30 16:20:19
#
year,HN,LN,LS,HS,Global
2004,3.110,3.092,,3.007,
2005,3.128,3.109,,3.024,
2006,3.150,3.130,,3.063,
2007,3.181,3.165,3.111,3.095,3.138
2008,3.221,3.188,3.148,3.124,3.170
2009,3.217,3.203,3.166,3.150,3.184
2010,3.254,3.240,3.205,3.174,3.218
2011,3.268,3.249,3.215,3.193,3.231
2012,3.300,3.282,3.240,3.240,3.266
2013,3.342,3.317,3.283,3.277,3.305
2014,3.341,3.335,3.305,3.280,3.315
2015,3.345,3.329,3.306,3.281,3.315
2016,3.351,3.341,3.307,3.291,3.323
2017,3.352,3.335,3.311,3.293,3.323
2018,3.357,3.342,3.321,3.299,3.330
2019,3.359,3.348,3.323,3.302,3.333
2020,3.346,3.331,3.306,3.295,3.319
2021,3.357,3.346,3.318,3.299,3.330
2022,3.360,3.346,3.324,3.306,3.334
2023,3.356,3.345,3.323,3.310,3.333
2024,3.345,,3.313,3.308,
