# Annual means for H2402
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: H2402_annual_means.csv
# Generated on: 2025-07-28 10:53:52
#
year,HN,LN,LS,HS,Global
1995,NaN,NaN,NaN,NaN,NaN
1996,0.498,0.487,0.468,0.464,0.479
1997,0.509,0.483,0.486,0.475,0.488
1998,0.506,0.483,0.483,0.476,0.487
1999,0.502,0.487,0.480,0.476,0.486
2000,0.500,0.490,0.478,0.476,0.486
2001,0.497,0.493,0.476,0.477,0.486
2002,0.495,0.496,0.474,0.478,0.486
2003,0.492,0.499,0.472,0.479,0.486
2004,0.493,0.492,0.470,0.475,0.482
2005,0.490,0.487,0.468,0.474,0.480
2006,0.485,0.484,0.466,0.465,0.475
2007,0.478,0.470,0.464,0.463,0.469
2008,0.477,0.459,0.462,0.455,0.463
2009,0.472,0.465,0.460,0.456,0.464
2010,0.467,0.464,0.455,0.452,0.460
2011,0.460,0.456,0.449,0.446,0.453
2012,0.453,0.450,0.443,0.440,0.447
2013,0.446,0.443,0.438,0.432,0.440
2014,0.440,0.435,0.430,0.426,0.433
2015,0.432,0.429,0.423,0.419,0.426
2016,0.427,0.426,0.419,0.415,0.422
2017,0.420,0.417,0.411,0.407,0.414
2018,0.414,0.412,0.405,0.403,0.408
2019,0.411,0.409,0.402,0.396,0.405
2020,0.407,0.403,0.396,0.391,0.399
2021,0.403,0.399,0.393,0.390,0.396
2022,0.402,0.399,0.396,0.392,0.397
2023,0.401,0.398,0.395,0.389,0.396
2024,0.397,0.394,0.387,0.383,0.390
