# Annual means for HCFC133a
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: HCFC133a_annual_means.csv
# Generated on: 2026-06-11 11:43:17
#
year,HN,LN,LS,HS,Global
2013,NaN,NaN,NaN,NaN,NaN
2014,NaN,NaN,NaN,NaN,NaN
2015,0.518,0.506,0.405,0.395,0.456
2016,0.540,0.518,0.433,0.415,0.477
2017,0.539,0.510,0.441,0.425,0.479
2018,0.525,0.511,0.440,0.429,0.477
2019,0.511,0.497,0.428,0.420,0.464
2020,0.507,0.488,0.419,0.409,0.456
2021,0.526,0.509,0.423,0.411,0.467
2022,0.564,0.543,0.448,0.430,0.496
2023,0.550,0.538,0.448,0.438,0.493
2024,0.544,0.520,0.444,0.434,0.485
2025,NaN,NaN,NaN,NaN,NaN
