# Annual means for HCFC142b
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: HCFC142b_annual_means.csv
# Generated on: 2025-07-09 16:04:27
#
year,HN,LN,LS,HS,Global
1992,3.921,3.686,2.978,2.537,3.296
1993,5.624,4.815,3.812,3.597,4.462
1994,6.659,6.208,5.028,4.764,5.665
1995,7.889,6.997,5.946,5.639,6.618
1996,8.886,8.278,7.123,6.745,7.758
1997,9.935,9.352,7.935,7.750,8.743
1998,10.811,10.286,8.905,8.720,9.680
1999,12.002,11.332,10.042,9.701,10.769
2000,13.077,12.246,11.017,10.722,11.765
2001,13.949,13.229,11.918,11.580,12.669
2002,14.565,13.829,12.714,12.515,13.406
2003,15.170,14.467,13.370,13.163,14.043
2004,15.703,15.026,13.959,13.732,14.605
2005,16.432,15.682,14.558,14.299,15.242
2006,17.431,16.683,15.385,15.024,16.131
2007,18.694,17.965,16.562,16.091,17.328
2008,19.970,19.147,17.682,17.383,18.546
2009,20.841,20.105,18.705,18.367,19.504
2010,21.354,20.830,19.341,19.116,20.160
2011,22.121,21.545,20.212,20.031,20.977
2012,22.397,21.812,20.767,20.583,21.390
2013,22.778,22.243,21.219,21.022,21.816
2014,22.888,22.363,21.312,21.246,21.952
2015,22.736,22.300,21.312,21.228,21.894
2016,22.811,22.467,21.465,21.442,22.046
2017,22.946,22.511,21.582,21.478,22.129
2018,22.761,22.380,21.586,21.447,22.043
2019,22.681,22.379,21.436,21.365,21.965
2020,22.341,22.014,21.290,21.239,21.721
2021,22.105,21.824,21.086,21.053,21.517
2022,21.837,21.463,20.830,20.845,21.244
2023,21.564,21.240,20.558,20.614,20.994
2024,21.326,21.032,20.325,20.359,20.760
