# Annual means for HCFC22
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Annual means computed from Jan 1 to Dec 31.
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: HCFC22_annual_means.csv
# Generated on: 2026-06-12 11:23:19
#
year,HN,LN,LS,HS,Global
1991,NaN,NaN,NaN,NaN,NaN
1992,111.077,105.158,95.498,94.461,101.548
1993,115.721,109.716,100.352,98.780,106.142
1994,119.612,115.723,106.071,103.676,111.270
1995,125.034,119.535,110.690,109.430,116.173
1996,130.288,125.934,116.685,114.231,121.785
1997,135.106,131.369,120.260,118.581,126.329
1998,140.330,137.089,125.314,123.743,131.619
1999,146.286,142.215,131.313,128.734,137.137
2000,152.313,146.600,135.940,133.580,142.108
2001,158.782,153.158,141.163,139.070,148.043
2002,164.193,158.294,146.659,144.620,153.441
2003,169.156,163.873,151.126,149.285,158.360
2004,173.107,168.043,155.577,153.555,162.570
2005,179.920,174.572,161.560,158.882,168.733
2006,187.064,181.610,168.035,164.839,175.387
2007,195.471,190.086,175.724,172.001,183.321
2008,203.850,197.930,183.369,180.483,191.408
2009,210.975,205.842,191.150,187.738,198.926
2010,218.571,214.292,197.900,194.094,206.214
2011,225.360,220.283,204.796,202.029,213.117
2012,229.889,225.127,210.523,207.904,218.361
2013,235.696,231.122,216.229,213.054,224.025
2014,241.896,236.618,220.589,218.392,229.374
2015,244.828,240.818,225.066,222.679,233.348
2016,248.999,245.439,229.680,227.141,237.815
2017,252.601,248.200,233.130,230.438,241.092
2018,255.184,251.158,236.837,234.388,244.392
2019,258.316,254.602,238.848,236.586,247.088
2020,258.653,254.607,240.925,238.393,248.144
2021,259.166,255.473,241.548,239.923,249.027
2022,258.811,253.983,242.086,240.781,248.915
2023,256.903,253.533,240.853,239.748,247.759
2024,254.401,250.701,238.558,237.915,245.394
2025,250.280,246.680,236.212,235.710,242.220
