# Annual means for HFC152a
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Annual means computed from Jan 1 to Dec 31.
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: HFC152a_annual_means.csv
# Generated on: 2026-06-12 11:23:54
#
year,HN,LN,LS,HS,Global
2000,NaN,NaN,NaN,NaN,NaN
2001,2.902,2.152,1.282,1.144,1.870
2002,4.462,2.604,1.517,1.348,2.483
2003,4.395,3.160,1.750,1.555,2.715
2004,4.964,3.642,2.102,1.879,3.147
2005,6.120,4.378,2.543,2.252,3.823
2006,7.137,5.216,2.987,2.591,4.483
2007,8.097,5.904,3.594,3.150,5.186
2008,8.729,6.538,4.150,3.804,5.805
2009,9.145,6.892,4.359,3.955,6.088
2010,9.391,7.294,4.346,4.008,6.260
2011,10.383,7.822,4.601,4.261,6.766
2012,10.605,7.934,4.781,4.453,6.943
2013,10.497,7.912,4.867,4.459,6.934
2014,10.177,7.644,4.716,4.438,6.744
2015,10.330,7.734,4.871,4.420,6.839
2016,10.277,7.863,4.845,4.470,6.864
2017,10.687,7.900,4.918,4.496,7.000
2018,10.917,8.164,5.108,4.644,7.208
2019,11.820,8.132,5.069,4.724,7.436
2020,11.075,8.250,5.227,4.800,7.338
2021,11.206,8.611,5.250,4.873,7.485
2022,11.692,8.494,5.375,4.952,7.628
2023,11.555,8.626,5.351,4.965,7.624
2024,12.376,8.972,5.476,5.079,7.976
2025,12.297,9.446,5.859,5.411,8.253
