# Annual means for HFC32
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: HFC32_annual_means.csv
# Generated on: 2025-06-30 16:20:29
#
year,HN,LN,LS,HS,Global
2008,,,,1.833,
2009,3.292,2.888,2.166,2.009,2.600
2010,4.435,4.041,2.974,2.744,3.548
2011,5.430,4.888,3.770,3.309,4.349
2012,6.118,5.667,4.376,4.042,5.051
2013,7.760,7.039,5.397,5.104,6.325
2014,9.341,8.400,6.548,6.224,7.628
2015,11.336,10.220,8.018,7.810,9.346
2016,13.601,12.205,10.185,9.482,11.368
2017,16.486,15.126,12.151,11.350,13.778
2018,19.563,17.995,14.623,13.546,16.432
2019,22.770,21.232,17.130,15.999,19.283
2020,25.848,23.837,20.007,18.743,22.109
2021,29.587,27.596,22.765,21.694,25.411
2022,33.938,31.743,26.381,25.279,29.335
2023,39.107,35.730,30.690,28.866,33.469
2024,44.187,,34.270,32.653,
