# Annual means for PFC116
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: PFC116_annual_means.csv
# Generated on: 2026-05-12 12:10:24
#
year,HN,LN,LS,HS,Global
2015,NaN,NaN,NaN,NaN,NaN
2016,4.625,4.610,4.514,4.507,4.564
2017,4.691,4.663,4.600,4.617,4.643
2018,4.785,4.739,4.729,4.695,4.737
2019,4.879,4.862,4.799,4.779,4.830
2020,4.950,4.919,4.869,4.862,4.900
2021,5.030,5.022,4.945,4.918,4.979
2022,5.085,5.065,5.008,4.996,5.038
2023,NaN,NaN,NaN,NaN,NaN
2024,NaN,NaN,NaN,NaN,NaN
2025,NaN,NaN,NaN,NaN,NaN
