# Annual means for SF6
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Annual means computed from Jan 1 to Dec 31.
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: SF6_annual_means.csv
# Generated on: 2026-06-17 14:13:21
#
year,HN,LN,LS,HS,Global
1996,3.914,3.810,3.607,3.509,3.710
1997,4.160,4.065,3.819,3.788,3.958
1998,4.360,4.281,4.058,4.012,4.178
1999,4.524,4.461,4.295,4.223,4.376
2000,4.734,4.666,4.495,4.426,4.580
2001,4.934,4.873,4.697,4.633,4.784
2002,5.151,5.076,4.905,4.851,4.996
2003,5.396,5.312,5.102,5.071,5.220
2004,5.617,5.534,5.350,5.286,5.447
2005,5.839,5.759,5.565,5.505,5.667
2006,6.082,6.000,5.808,5.728,5.904
2007,6.358,6.288,6.081,5.993,6.180
2008,6.659,6.575,6.356,6.272,6.466
2009,6.935,6.860,6.644,6.549,6.747
2010,7.232,7.180,6.917,6.824,7.038
2011,7.511,7.443,7.203,7.116,7.318
2012,7.797,7.724,7.492,7.392,7.601
2013,8.125,8.051,7.794,7.691,7.915
2014,8.465,8.403,8.135,8.035,8.259
2015,8.794,8.728,8.463,8.376,8.590
2016,9.129,9.077,8.785,8.687,8.919
2017,9.477,9.419,9.130,9.028,9.264
2018,9.815,9.757,9.487,9.386,9.611
2019,10.143,10.113,9.835,9.725,9.954
2020,10.471,10.433,10.169,10.052,10.281
2021,10.864,10.820,10.518,10.407,10.652
2022,11.258,11.206,10.899,10.786,11.037
2023,11.647,11.614,11.292,11.160,11.428
2024,12.070,12.012,11.671,11.543,11.824
2025,12.520,12.479,12.101,11.959,12.265
