# Annual means for SO2F2
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Annual means computed from Jan 1 to Dec 31.
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: SO2F2_annual_means.csv
# Generated on: 2026-06-17 14:13:33
#
year,HN,LN,LS,HS,Global
2014,NaN,NaN,NaN,NaN,NaN
2015,NaN,NaN,NaN,NaN,NaN
2016,2.128,2.129,1.911,1.863,2.008
2017,2.231,2.220,2.015,1.958,2.106
2018,2.308,2.320,2.107,2.057,2.198
2019,2.383,2.382,2.163,2.117,2.261
2020,2.451,2.433,2.232,2.179,2.324
2021,2.555,2.541,2.306,2.246,2.412
2022,2.670,2.647,2.401,2.348,2.516
2023,2.757,2.760,2.511,2.462,2.622
2024,2.890,2.832,2.626,2.560,2.727
2025,2.934,2.896,2.700,2.601,2.783
